employee_name,user_id,O,C,E,A,N
Xander Yuli Waller,XYW0563,40,35,25,39,34
Odessa Hanna Estrada,OHE0350,45,34,27,14,26
Nelle Pearl Howe,NPH0533,39,44,21,23,20
Carson Cairo Malone,CCM0786,25,38,21,41,36
Jaquelyn Yoshi Mckinney,JYM0032,30,42,16,41,22
Kasper Thomas Shelton,KTS0879,33,13,20,21,25
Haviva Jada Molina,HJM0337,33,34,18,17,25
Lucy Anika Valenzuela,LAV0312,41,40,21,49,28
Vaughan Emery Paul,VEP0043,34,30,50,14,33
Benedict Ivan Rowe,BIR0613,17,37,37,37,24
Giacomo Russell Moreno,GRM0263,22,10,16,38,25
Fiona Phyllis Swanson,FPS0900,38,48,39,16,30
